"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2023-03-09 22:08:56.181713021","192.168.1.101","192.168.1.1","DNS","84","Standard query 0xd60b A engineering.virginia.edu"
"2","2023-03-09 22:08:56.182232092","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x0e0f AAAA engineering.virginia.edu"
"3","2023-03-09 22:08:59.851676016","192.168.1.100","192.168.1.255","BROWSER","286","Local Master Announcement METASPLOITABLE, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Master Browser"
"4","2023-03-09 22:08:59.852203395","192.168.1.100","192.168.1.255","BROWSER","257","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"5","2023-03-09 22:09:01.188195767","192.168.1.101","192.168.1.1","DNS","84","Standard query 0xd60b A engineering.virginia.edu"
"6","2023-03-09 22:09:01.188827233","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x0e0f AAAA engineering.virginia.edu"
"7","2023-03-09 22:09:01.335292074","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","Who has 192.168.1.1? Tell 192.168.1.101"
"8","2023-03-09 22:09:01.337037286","PcsCompu_85:67:f8","PcsCompu_b1:9d:67","ARP","60","192.168.1.1 is at 08:00:27:85:67:f8"
"9","2023-03-09 22:09:06.194573688","192.168.1.101","192.168.1.1","DNS","94","Standard query 0x7741 A engineering.virginia.edu.home.arpa"
"10","2023-03-09 22:09:06.194806541","192.168.1.101","192.168.1.1","DNS","94","Standard query 0x2cbe AAAA engineering.virginia.edu.home.arpa"
"11","2023-03-09 22:09:11.199982264","192.168.1.101","192.168.1.1","DNS","94","Standard query 0x7741 A engineering.virginia.edu.home.arpa"
"12","2023-03-09 22:09:11.200134418","192.168.1.101","192.168.1.1","DNS","94","Standard query 0x2cbe AAAA engineering.virginia.edu.home.arpa"
"13","2023-03-09 22:09:16.203439308","192.168.1.101","192.168.1.1","DNS","84","Standard query 0xae92 A engineering.virginia.edu"
"14","2023-03-09 22:09:16.203550136","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x0a91 AAAA engineering.virginia.edu"
"15","2023-03-09 22:09:21.204892713","192.168.1.101","192.168.1.1","DNS","84","Standard query 0xae92 A engineering.virginia.edu"
"16","2023-03-09 22:09:21.205020654","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x0a91 AAAA engineering.virginia.edu"
"17","2023-03-09 22:09:26.207645675","192.168.1.101","192.168.1.1","DNS","94","Standard query 0xd724 A engineering.virginia.edu.home.arpa"
"18","2023-03-09 22:09:26.208745523","192.168.1.101","192.168.1.1","DNS","94","Standard query 0xc321 AAAA engineering.virginia.edu.home.arpa"
"19","2023-03-09 22:09:30.321543900","fe80::77e9:e795:c650:663f","ff02::1:2","DHCPv6","110","Information-request XID: 0xef71ab CID: 0004a32c96b893f58fb85b775caeeffea81d "
"20","2023-03-09 22:09:31.212424626","192.168.1.101","192.168.1.1","DNS","94","Standard query 0xd724 A engineering.virginia.edu.home.arpa"
"21","2023-03-09 22:09:31.212686404","192.168.1.101","192.168.1.1","DNS","94","Standard query 0xc321 AAAA engineering.virginia.edu.home.arpa"
"22","2023-03-09 22:09:36.215825978","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x0a6d A engineering.virginia.edu"
"23","2023-03-09 22:09:36.216283636","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x016f AAAA engineering.virginia.edu"
"24","2023-03-09 22:09:36.407395481","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","Who has 192.168.1.1? Tell 192.168.1.101"
"25","2023-03-09 22:09:36.409469666","PcsCompu_85:67:f8","PcsCompu_b1:9d:67","ARP","60","192.168.1.1 is at 08:00:27:85:67:f8"
"26","2023-03-09 22:09:41.219211337","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x0a6d A engineering.virginia.edu"
"27","2023-03-09 22:09:41.219662474","192.168.1.101","192.168.1.1","DNS","84","Standard query 0x016f AAAA engineering.virginia.edu"
"28","2023-03-09 22:09:46.223423510","192.168.1.101","192.168.1.1","DNS","94","Standard query 0x817d A engineering.virginia.edu.home.arpa"
"29","2023-03-09 22:09:46.223927352","192.168.1.101","192.168.1.1","DNS","94","Standard query 0xe979 AAAA engineering.virginia.edu.home.arpa"
"30","2023-03-09 22:09:49.344534903","PcsCompu_b1:9d:67","Broadcast","ARP","42","Who has 192.168.1.100? Tell 192.168.1.101"
"31","2023-03-09 22:09:49.345457721","PcsCompu_5d:f7:33","PcsCompu_b1:9d:67","ARP","60","192.168.1.100 is at 08:00:27:5d:f7:33"
"32","2023-03-09 22:09:49.384401907","PcsCompu_b1:9d:67","Broadcast","ARP","42","Who has 192.168.1.1? Tell 192.168.1.101"
"33","2023-03-09 22:09:49.385355536","PcsCompu_85:67:f8","PcsCompu_b1:9d:67","ARP","60","192.168.1.1 is at 08:00:27:85:67:f8"
"34","2023-03-09 22:09:49.427285984","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"35","2023-03-09 22:09:49.457372539","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"36","2023-03-09 22:09:49.488141286","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"37","2023-03-09 22:09:49.524924006","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"38","2023-03-09 22:09:49.556651973","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"39","2023-03-09 22:09:49.589435924","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"40","2023-03-09 22:09:49.624135332","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"41","2023-03-09 22:09:49.656107114","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"42","2023-03-09 22:09:49.688867350","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"43","2023-03-09 22:09:49.728873900","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"44","2023-03-09 22:09:49.772471673","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"45","2023-03-09 22:09:49.807026177","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"46","2023-03-09 22:09:49.848044777","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"47","2023-03-09 22:09:49.881923625","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"48","2023-03-09 22:09:49.913389438","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"49","2023-03-09 22:09:49.945179954","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"50","2023-03-09 22:09:49.977498078","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"51","2023-03-09 22:09:50.008668076","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
"52","2023-03-09 22:09:50.043416926","PcsCompu_b1:9d:67","PcsCompu_5d:f7:33","ARP","42","192.168.1.1 is at 08:00:27:b1:9d:67"
"53","2023-03-09 22:09:50.076764519","PcsCompu_b1:9d:67","PcsCompu_85:67:f8","ARP","42","192.168.1.100 is at 08:00:27:b1:9d:67"
